32:f7:72:50:57:3b,38:17:c3:19:55:42,38:17:c3:19:55:43,38:17:c3:19:55:44,38:17:c3:19:55:52,38:17:c3:19:55:53,38:17:c3:19:55:54,38:17:c3:1f:0f:92,38:17:c3:1f:0f:93,38:17:c3:1f:0f:94,38:17:c3:24:4f:02,38:17:c3:24:4f:03,38:17:c3:24:4f:04,38:17:c3:24:4f:12,38:17:c3:24:4f:14,38:17:c3:24:58:a2,38:17:c3:24:58:a3,38:17:c3:24:58:a4,38:17:c3:24:58:b2,38:17:c3:24:58:b3,38:17:c3:24:58:b4,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:23,a8:bd:27:4c:bd:24,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:33,a8:bd:27:4c:bd:34,label,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b3,38:17:c3:1e:fc:b4,38:17:c3:24:4f:13,00:4e:35:de:d7:53,00:4e:35:de:e1:01,00:4e:35:de:e1:03,00:4e:35:de:e1:04,00:4e:35:de:e1:11,00:4e:35:de:e1:13,00:4e:35:de:e1:14,00:4e:35:df:06:41,00:4e:35:df:06:43,00:4e:35:df:06:44,00:4e:35:df:06:51,00:4e:35:df:06:53,00:4e:35:df:06:54,00:4e:35:df:0e:11,00:4e:35:df:0e:13,00:4e:35:df:0e:14,06:f3:82:cf:14:7c,38:17:c3:19:d7:72,38:17:c3:19:d7:73,38:17:c3:19:d7:74,38:17:c3:1f:0e:04,38:17:c3:1f:0e:12,38:17:c3:1f:0e:13,38:17:c3:1f:0e:14,44:48:c1:a5:82:22,44:48:c1:a5:82:23,44:48:c1:a5:82:24,44:48:c1:a5:82:32,44:48:c1:a5:82:33,44:48:c1:a5:82:34,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,80:8d:b7:55:25:e4,80:8d:b7:55:25:e5,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f4,80:8d:b7:55:25:f5,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:35:04,80:8d:b7:55:35:05,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:14,80:8d:b7:55:35:15,80:8d:b7:55:39:c2,80:8d:b7:55:39:c3,80:8d:b7:55:39:c4,80:8d:b7:55:39:d2,80:8d:b7:55:39:d3,80:8d:b7:55:39:d4,80:8d:b7:55:3a:42,80:8d:b7:55:3a:43,80:8d:b7:55:3a:44,80:8d:b7:55:3a:52,80:8d:b7:55:3a:53,80:8d:b7:55:3a:54,b4:5d:50:e1:92:23,ea:9e:b4:53:24:54,30:e1:71:d9:9e:8c,38:17:c3:19:45:b2,38:17:c3:19:45:b3,38:17:c3:19:45:b4,38:17:c3:19:d7:62,38:17:c3:19:d7:63,38:17:c3:19:d7:64,38:17:c3:1e:ff:12,38:17:c3:1e:ff:13,38:17:c3:1e:ff:14,38:17:c3:1f:01:82,38:17:c3:1f:01:83,38:17:c3:1f:01:84,38:17:c3:1f:01:92,38:17:c3:1f:01:93,38:17:c3:1f:01:94,b4:5d:50:e1:92:24,b4:5d:50:e1:92:25,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:34,b4:5d:50:e1:92:35,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,20:a6:cd:50:24:b2,20:a6:cd:50:24:b3,20:a6:cd:50:24:b4,b4:5d:50:e1:96:52,38:17:c3:1e:ff:02,38:17:c3:1e:ff:03,38:17:c3:1e:ff:04,38:17:c3:1f:0e:02,38:17:c3:1f:0e:03,20:a6:cd:50:24:a4,38:17:c3:19:45:a2,38:17:c3:19:45:a3,38:17:c3:19:45:a4,38:17:c3:1f:09:83,38:17:c3:1f:09:93,38:17:c3:1f:09:94,38:17:c3:1f:09:95,20:a6:cd:42:0b:f3,48:f8:b3:3b:76:5a,20:a6:cd:50:24:a2,20:a6:cd:50:24:a3,38:17:c3:1f:08:52,38:17:c3:1f:08:54,38:17:c3:1f:08:42,38:17:c3:1f:08:43,38:17:c3:1f:08:44,38:17:c3:1f:08:53,38:17:c3:1f:22:33,38:17:c3:1f:22:34,80:8d:b7:55:4d:12,80:8d:b7:55:4d:13,80:8d:b7:55:4d:14,80:8d:b7:55:4d:02,80:8d:b7:55:4d:03,80:8d:b7:55:4d:04,38:17:c3:19:71:92,38:17:c3:19:71:93,38:17:c3:19:71:94,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a3,38:17:c3:1e:fc:a4,70:56:81:c9:91:ab,00:4e:35:de:d7:54,00:4e:35:de:d7:55,00:4e:35:de:d7:43,38:17:c3:19:71:82,38:17:c3:19:71:83,38:17:c3:19:71:84,38:17:c3:1f:22:23,38:17:c3:1f:22:32,00:4e:35:de:d7:51,52:3f:8c:e5:4a:a9,44:48:c1:91:95:b5,44:48:c1:91:95:b4,x,y
-100.0,-82.0,-82.0,-82.0,-77.0,-78.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10,-100.0,-100.0,-100.0,-100.0,-85.0,-90.0,-90.0,-89.0,-75.0,-77.0,-77.0,-80.0,-80.0,-80.0,-72.0,-72.0,-73.0,-100.0,-100.0,-100.0,-88.0,-82.0,-82.0,-82.0,-82.0,-75.0,-74.0,-73.0,-72.0,-72.0,-73.0,-68.0,-68.0,-68.0,-83.0,-82.0,-83.0,-83.0,-75.0,-75.0,-75.0,-74.0,-83.0,-82.0,-83.0,-84.0,-73.0,-76.0,-74.0,-73.0,-69.0,-68.0,-67.0,-65.0,-63.0,-66.0,-70.0,-69.0,-71.0,-58.0,-58.0,-58.0,-89.0,-75.0,-96.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-88.0,-84.0,-76.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-100.0,-100.0,-100.0,-88.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-90.0,-100.0,-100.0,-100.0,-100.0,-86.0,-84.0,-100.0,-100.0,-100.0,545.0,401.9999999999999
-100.0,-82.0,-82.0,-82.0,-78.0,-76.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10,-100.0,-100.0,-100.0,-100.0,-85.0,-90.0,-90.0,-88.0,-75.0,-77.0,-77.0,-79.0,-79.0,-80.0,-73.0,-73.0,-74.0,-100.0,-100.0,-100.0,-87.0,-82.0,-82.0,-83.0,-80.0,-75.0,-77.0,-75.0,-76.0,-76.0,-76.0,-68.0,-67.0,-68.0,-83.0,-84.0,-83.0,-83.0,-76.0,-75.0,-76.0,-76.0,-83.0,-82.0,-83.0,-84.0,-73.0,-76.0,-74.0,-73.0,-71.0,-70.0,-69.0,-67.0,-64.0,-66.0,-70.0,-70.0,-71.0,-58.0,-58.0,-57.0,-89.0,-77.0,-96.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-83.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-100.0,-100.0,-100.0,-88.0,-88.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-90.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,545.0,401.9999999999999
-100.0,-84.0,-84.0,-84.0,-78.0,-80.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-75.0,-77.0,-76.0,-80.0,-80.0,-80.0,-72.0,-72.0,-72.0,-100.0,-100.0,-100.0,-90.0,-82.0,-82.0,-82.0,-82.0,-73.0,-72.0,-72.0,-70.0,-70.0,-71.0,-70.0,-67.0,-66.0,-83.0,-82.0,-83.0,-83.0,-74.0,-74.0,-74.0,-74.0,-82.0,-80.0,-82.0,-83.0,-73.0,-75.0,-74.0,-73.0,-67.0,-67.0,-67.0,-65.0,-62.0,-65.0,-70.0,-70.0,-71.0,-59.0,-59.0,-59.0,-88.0,-75.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-78.0,-78.0,-73.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.0,-100.0,-100.0,-89.0,-89.0,-100.0,-100.0,-100.0,-89.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-90.0,-100.0,-100.0,-100.0,-100.0,-86.0,-85.0,-100.0,-100.0,-100.0,545.0,401.9999999999999
-100.0,-82.0,-82.0,-82.0,-78.0,-76.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11,-100.0,-100.0,-100.0,-100.0,-85.0,-90.0,-90.0,-88.0,-75.0,-77.0,-77.0,-79.0,-79.0,-80.0,-73.0,-73.0,-74.0,-100.0,-100.0,-100.0,-87.0,-82.0,-82.0,-83.0,-80.0,-75.0,-77.0,-75.0,-76.0,-76.0,-76.0,-68.0,-67.0,-68.0,-83.0,-84.0,-83.0,-83.0,-76.0,-75.0,-76.0,-76.0,-83.0,-82.0,-83.0,-84.0,-73.0,-76.0,-74.0,-73.0,-71.0,-70.0,-69.0,-67.0,-64.0,-66.0,-70.0,-70.0,-71.0,-58.0,-58.0,-57.0,-89.0,-77.0,-96.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-83.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-100.0,-100.0,-100.0,-88.0,-88.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-90.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,545.0,416.1999999999999
-100.0,-82.0,-82.0,-82.0,-78.0,-76.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11,-100.0,-100.0,-100.0,-100.0,-85.0,-90.0,-90.0,-88.0,-75.0,-77.0,-77.0,-79.0,-79.0,-80.0,-73.0,-73.0,-74.0,-100.0,-100.0,-100.0,-87.0,-82.0,-82.0,-83.0,-80.0,-75.0,-77.0,-75.0,-76.0,-76.0,-76.0,-68.0,-67.0,-68.0,-83.0,-84.0,-83.0,-83.0,-76.0,-75.0,-76.0,-76.0,-83.0,-82.0,-83.0,-84.0,-73.0,-76.0,-74.0,-73.0,-71.0,-70.0,-69.0,-67.0,-64.0,-66.0,-70.0,-70.0,-71.0,-58.0,-58.0,-57.0,-89.0,-77.0,-96.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-83.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-100.0,-100.0,-100.0,-88.0,-88.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-90.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,545.0,416.1999999999999
-100.0,-82.0,-82.0,-82.0,-78.0,-76.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11,-100.0,-100.0,-100.0,-100.0,-85.0,-90.0,-90.0,-88.0,-75.0,-77.0,-77.0,-79.0,-79.0,-80.0,-73.0,-73.0,-74.0,-100.0,-100.0,-100.0,-87.0,-82.0,-82.0,-83.0,-80.0,-75.0,-77.0,-75.0,-76.0,-76.0,-76.0,-68.0,-67.0,-68.0,-83.0,-84.0,-83.0,-83.0,-76.0,-75.0,-76.0,-76.0,-83.0,-82.0,-83.0,-84.0,-73.0,-76.0,-74.0,-73.0,-71.0,-70.0,-69.0,-67.0,-64.0,-66.0,-70.0,-70.0,-71.0,-58.0,-58.0,-57.0,-89.0,-77.0,-96.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-83.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-100.0,-100.0,-100.0,-88.0,-88.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-90.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,545.0,416.1999999999999
-100.0,-82.0,-82.0,-82.0,-78.0,-76.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11,-100.0,-100.0,-100.0,-100.0,-85.0,-90.0,-90.0,-88.0,-75.0,-77.0,-77.0,-79.0,-79.0,-80.0,-73.0,-73.0,-74.0,-100.0,-100.0,-100.0,-87.0,-82.0,-82.0,-83.0,-80.0,-75.0,-77.0,-75.0,-76.0,-76.0,-76.0,-68.0,-67.0,-68.0,-83.0,-84.0,-83.0,-83.0,-76.0,-75.0,-76.0,-76.0,-83.0,-82.0,-83.0,-84.0,-73.0,-76.0,-74.0,-73.0,-71.0,-70.0,-69.0,-67.0,-64.0,-66.0,-70.0,-70.0,-71.0,-58.0,-58.0,-57.0,-89.0,-77.0,-96.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-83.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-100.0,-100.0,-100.0,-88.0,-88.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-90.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,545.0,416.1999999999999
-100.0,-82.0,-82.0,-81.0,-77.0,-74.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12,-100.0,-100.0,-100.0,-100.0,-86.0,-90.0,-90.0,-88.0,-76.0,-77.0,-76.0,-81.0,-81.0,-81.0,-76.0,-75.0,-75.0,-89.0,-100.0,-100.0,-86.0,-83.0,-82.0,-84.0,-79.0,-76.0,-75.0,-75.0,-79.0,-78.0,-79.0,-68.0,-68.0,-68.0,-83.0,-84.0,-83.0,-83.0,-76.0,-76.0,-75.0,-76.0,-85.0,-80.0,-85.0,-85.0,-74.0,-76.0,-75.0,-75.0,-69.0,-67.0,-67.0,-70.0,-66.0,-69.0,-73.0,-73.0,-73.0,-55.0,-55.0,-55.0,-91.0,-76.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-81.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0,-100.0,-100.0,-100.0,-87.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,545.0,430.3999999999999
-100.0,-82.0,-82.0,-81.0,-77.0,-74.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12,-100.0,-100.0,-100.0,-100.0,-86.0,-90.0,-90.0,-88.0,-76.0,-77.0,-76.0,-81.0,-81.0,-81.0,-76.0,-75.0,-75.0,-89.0,-100.0,-100.0,-86.0,-83.0,-82.0,-84.0,-79.0,-76.0,-75.0,-75.0,-79.0,-78.0,-79.0,-68.0,-68.0,-68.0,-83.0,-84.0,-83.0,-83.0,-76.0,-76.0,-75.0,-76.0,-85.0,-80.0,-85.0,-85.0,-74.0,-76.0,-75.0,-75.0,-69.0,-67.0,-67.0,-70.0,-66.0,-69.0,-73.0,-73.0,-73.0,-55.0,-55.0,-55.0,-91.0,-76.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-81.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0,-100.0,-100.0,-100.0,-87.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,545.0,430.3999999999999
-100.0,-82.0,-82.0,-81.0,-77.0,-74.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12,-100.0,-100.0,-100.0,-100.0,-86.0,-90.0,-90.0,-88.0,-76.0,-77.0,-76.0,-81.0,-81.0,-81.0,-76.0,-75.0,-75.0,-89.0,-100.0,-100.0,-86.0,-83.0,-82.0,-84.0,-79.0,-76.0,-75.0,-75.0,-79.0,-78.0,-79.0,-68.0,-68.0,-68.0,-83.0,-84.0,-83.0,-83.0,-76.0,-76.0,-75.0,-76.0,-85.0,-80.0,-85.0,-85.0,-74.0,-76.0,-75.0,-75.0,-69.0,-67.0,-67.0,-70.0,-66.0,-69.0,-73.0,-73.0,-73.0,-55.0,-55.0,-55.0,-91.0,-76.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-81.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0,-100.0,-100.0,-100.0,-87.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,545.0,430.3999999999999
-100.0,-82.0,-82.0,-81.0,-77.0,-74.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12,-100.0,-100.0,-100.0,-100.0,-86.0,-90.0,-90.0,-88.0,-76.0,-77.0,-76.0,-81.0,-81.0,-81.0,-76.0,-75.0,-75.0,-89.0,-100.0,-100.0,-86.0,-83.0,-82.0,-84.0,-79.0,-76.0,-75.0,-75.0,-79.0,-78.0,-79.0,-68.0,-68.0,-68.0,-83.0,-84.0,-83.0,-83.0,-76.0,-76.0,-75.0,-76.0,-85.0,-80.0,-85.0,-85.0,-74.0,-76.0,-75.0,-75.0,-69.0,-67.0,-67.0,-70.0,-66.0,-69.0,-73.0,-73.0,-73.0,-55.0,-55.0,-55.0,-91.0,-76.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-81.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0,-100.0,-100.0,-100.0,-87.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,545.0,430.3999999999999
-100.0,-79.0,-78.0,-78.0,-72.0,-71.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13,-100.0,-100.0,-100.0,-100.0,-88.0,-82.0,-82.0,-81.0,-74.0,-77.0,-76.0,-79.0,-77.0,-78.0,-74.0,-74.0,-74.0,-87.0,-88.0,-86.0,-88.0,-81.0,-82.0,-82.0,-81.0,-78.0,-76.0,-76.0,-78.0,-78.0,-78.0,-71.0,-72.0,-71.0,-83.0,-81.0,-83.0,-82.0,-71.0,-73.0,-72.0,-72.0,-86.0,-81.0,-85.0,-85.0,-76.0,-76.0,-76.0,-76.0,-69.0,-68.0,-68.0,-70.0,-66.0,-69.0,-67.0,-68.0,-68.0,-56.0,-55.0,-55.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-87.0,-92.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-86.0,-86.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-87.0,-95.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,545.0,444.5999999999999
-100.0,-73.0,-71.0,-72.0,-68.0,-68.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-73.0,-71.0,-72.0,13,-87.0,-87.0,-100.0,-100.0,-93.0,-84.0,-83.0,-83.0,-73.0,-76.0,-74.0,-68.0,-68.0,-69.0,-64.0,-64.0,-64.0,-84.0,-86.0,-85.0,-93.0,-89.0,-87.0,-89.0,-84.0,-100.0,-82.0,-82.0,-85.0,-85.0,-85.0,-79.0,-80.0,-79.0,-84.0,-81.0,-85.0,-84.0,-69.0,-70.0,-70.0,-71.0,-100.0,-89.0,-100.0,-100.0,-100.0,-83.0,-82.0,-82.0,-80.0,-79.0,-78.0,-78.0,-78.0,-78.0,-71.0,-71.0,-72.0,-69.0,-69.0,-69.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-91.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,545.0,444.5999999999999
